id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,target,Inflight_entertainment_wifi,Online_support_ease_booking,Onboard_service_legroom
1,Male,Loyal Customer,72,Business travel,Business,7.487173694213739,1,3,5,5,2,2,3,2,5,2,0,0.0,0.0,1,15,10,6
2,Male,Loyal Customer,35,Business travel,Business,7.709308333385869,2,1,1,2,2,2,2,2,4,2,0,0.0,2.1972245773362196,0,1,4,4
3,Male,disloyal Customer,37,Business travel,Eco,7.58629630715272,4,1,4,1,1,3,2,5,1,4,0,0.6931471805599453,1.0986122886681098,1,4,1,6
4,Female,Loyal Customer,20,Personal Travel,Eco,7.718685495198466,5,1,1,1,1,4,1,4,1,5,0,0.0,0.0,1,1,1,4
5,Male,disloyal Customer,38,Business travel,Eco,7.59890045687141,2,5,2,5,5,2,5,3,1,2,0,4.709530201312334,4.634728988229636,0,10,25,10
6,Male,Loyal Customer,18,Personal Travel,Eco,7.694392802629421,3,5,3,5,5,5,2,4,3,5,0,0.0,0.0,0,15,25,10
7,Female,Loyal Customer,51,Personal Travel,Eco,6.787844982309579,5,5,3,3,3,3,5,1,2,3,0,0.0,1.0986122886681098,1,15,9,15
8,Male,disloyal Customer,22,Business travel,Eco,7.586803535162581,3,5,3,5,5,1,5,2,2,4,0,3.58351893845611,2.8903717578961645,0,15,25,5
9,Female,Loyal Customer,35,Personal Travel,Eco,7.078341579557671,5,3,3,3,3,4,4,3,1,2,0,0.0,0.0,1,9,9,16
10,Female,Loyal Customer,52,Business travel,Business,5.8377304471659395,4,5,4,3,4,4,4,4,4,4,0,2.995732273553991,2.302585092994046,0,20,12,16
11,Female,Loyal Customer,8,Business travel,Business,8.150467911624004,5,4,4,4,4,5,4,5,3,4,0,0.0,0.0,1,16,16,20
12,Male,Loyal Customer,44,Business travel,Business,7.814803429489359,4,4,5,4,3,3,3,3,5,3,0,1.9459101490553132,0.0,1,20,12,9
13,Female,Loyal Customer,27,Business travel,Business,7.61972421378267,2,5,5,5,5,3,1,2,4,1,0,0.0,0.0,1,25,25,3
14,Female,Loyal Customer,36,Business travel,Eco,7.521859252201629,4,4,4,4,4,2,5,4,1,1,4,0.0,0.0,1,16,16,10
15,Male,disloyal Customer,19,Business travel,Eco,7.789868559054706,1,1,1,4,1,1,3,3,4,3,1,0.0,0.0,0,1,4,3
16,Female,Loyal Customer,48,Personal Travel,Eco,7.686162303492906,5,5,5,4,5,1,5,4,5,5,5,0.0,0.0,1,25,20,5
17,Female,Loyal Customer,58,Business travel,Eco,6.56244409369372,2,4,3,3,3,3,2,3,2,3,1,4.356708826689592,4.110873864173311,0,12,9,6
18,Male,Loyal Customer,28,Business travel,Business,8.094683648698815,2,2,2,2,2,2,1,3,4,3,2,0.0,0.0,0,4,4,2
19,Female,Loyal Customer,48,Business travel,Business,7.67368812926773,4,2,4,4,4,4,4,4,5,4,5,0.0,0.0,1,8,16,16
20,Female,Loyal Customer,26,Business travel,Eco,7.629489916393995,4,4,4,5,4,4,3,3,4,2,4,0.0,0.0,1,16,20,12
21,Female,Loyal Customer,69,Personal Travel,Business,5.983936280687191,2,2,5,5,4,4,4,4,4,4,5,0.0,0.0,1,10,20,16
22,Male,Loyal Customer,49,Personal Travel,Eco,8.254528881939745,3,3,3,2,4,3,3,4,2,3,2,4.709530201312334,4.762173934797756,0,9,8,9
23,Male,Loyal Customer,54,Business travel,Business,6.175867270105761,4,4,4,5,5,5,5,5,5,5,4,1.6094379124341003,2.1972245773362196,1,16,25,25
24,Female,disloyal Customer,24,Business travel,Business,7.859026979751538,4,2,4,2,2,3,5,4,3,4,2,0.0,0.0,1,8,4,15
25,Male,Loyal Customer,47,Business travel,Eco Plus,7.467942332285852,4,4,4,4,4,4,4,5,5,1,4,0.0,0.0,1,16,16,16
